step,rl-loss,episode
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,0,1
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,3
86,0,3
87,0,3
88,0,3
89,0,3
90,0,3
91,0,3
92,0,3
93,0,3
94,0,3
95,0,3
96,0,3
97,0,3
98,0,3
99,0,3
100,0.31173378229141235,3
101,0.6930428147315979,3
102,0.4508592486381531,3
103,0.4954484701156616,3
104,0.45787906646728516,3
105,0.5396630764007568,3
106,0.7123391628265381,3
107,0.5281480550765991,3
108,0.5965625047683716,3
109,0.6710213422775269,3
110,0.5994862914085388,3
111,0.6357507705688477,3
112,0.5715858340263367,3
113,0.5623812079429626,3
114,0.5502349734306335,3
115,0.5006659626960754,3
116,0.5134775042533875,3
117,0.3878207206726074,3
118,0.6141499876976013,3
119,0.539238691329956,3
120,0.5732977390289307,3
121,0.40486156940460205,3
122,0.31580889225006104,3
123,0.4891761839389801,3
124,0.634086549282074,3
125,0.25949233770370483,3
126,0.5850582718849182,3
127,0.4480103552341461,3
128,0.5117252469062805,3
129,0.41017770767211914,3
130,0.4285613000392914,3
131,0.44670116901397705,3
132,0.5133705735206604,3
133,0.43859052658081055,3
134,0.39757370948791504,3
135,0.4123913049697876,3
136,0.37335526943206787,3
137,0.4847204089164734,4
138,0.43086904287338257,4
139,0.5466036796569824,4
140,0.3092840909957886,4
141,0.39204496145248413,4
142,0.3853623569011688,4
143,0.6146594882011414,4
144,0.5558886528015137,4
145,0.5435162782669067,4
146,0.3127994239330292,4
147,0.3606037497520447,4
148,0.34186598658561707,4
149,0.5768311619758606,4
150,0.5235588550567627,4
151,0.5440970659255981,4
152,0.39873722195625305,4
153,0.5016172528266907,4
154,0.6387839913368225,4
155,0.35731902718544006,4
156,0.3050351142883301,4
157,0.45981717109680176,4
158,0.34993109107017517,4
159,0.38898855447769165,4
160,0.3822079598903656,4
161,0.41910886764526367,4
162,0.38971954584121704,4
163,0.30879902839660645,4
164,0.5302044749259949,4
165,0.27713796496391296,4
166,0.47492724657058716,4
167,0.31229910254478455,4
